address,verdict,realized_pnl,unrealized_pnl,avg_hold,rug_pct,multi_x_wins,reason,date_vetted
3DuEUG3mcJBQNzZojiE7LmroY4o9xdmMMxDearWDqXWB,KEEP,+$1.01M,-$577.97K,10d,99.85%,"40 (>500%), 39 (>100%)",Banked +$1.01M realized exceeds -$578K unrealized (net +$440K); 10d holds; 79 multi-x wins; high rug% confirmatory; fast-exit sniper,2026-06-22
2zWkRKi5Rw15Kjx9SxhMjPY7LQTfQyr9hQKuTCGSy2FE,REJECT,-$256.15K,-$149.34K,8d,2.09%,0,Negative realized -$256K (net -$405K); bot-scale 227K/218K txns; 0 multi-x wins,2026-06-22
dmuXAmcXJcdNuK264vsJQNBpVBPAx4JLujBzBMahJ6C,REJECT,+$81.48K,+$12.16K,7h,0%,0,"MM/HFT bot profile: 30.9K/32.9K symmetric txns, $24M vol, 0% rug, 0 multi-x wins (thin two-sided trading)",2026-06-22
7UDJvBKv1Z5jE5hMFUywrLhtzmkTiTzSw81WNj5GgCJz,KEEP,+$595.46K,-$390.96K,7d,99.94%,"9 (>500%), 15 (>100%)",Banked +$595K realized exceeds -$391K unrealized (net +$205K); 7d holds (ideal); 24 multi-x wins; high rug% confirmatory; fast-exit sniper,2026-06-22
AGgeGJQEM9DtK3D2ne3bRBvdgy9SrTH14zY6mPypEiUz,KEEP,+$642.01K,-$473.95K,8d,99.94%,"17 (>500%), 28 (>100%)",Banked +$642K realized exceeds -$474K unrealized (net +$168K); 8d holds; 45 multi-x wins; 71% win rate; high rug% confirmatory,2026-06-22
7rtiKSUDLBm59b1SBmD9oajcP8xE64vAGSMbAN5CXy1q,REJECT,+$26.48M,-$174.67M,4mo,94.07%,"421 (>500%), 2.31K (>100%)",Catastrophic bag-holder: unrealized -$174.67M dwarfs realized (net -$148.18M); 4mo holds; bot/exchange-scale 6.21M txns,2026-06-22
CyaE1VxvBrahnPWkqm5VsdCvyS2QmNht2UFrKJHga54o,KEEP,+$11.85M,-$755.02K,4d,97.45%,"183 (>500%), 5.31K (>100%)","Banked +$11.85M realized far exceeds -$755K unrealized (net +$11.09M); 4d holds; thousands of multi-x wins; high-vol fast-exit sniper (94% instant-sell, asymmetric); high rug% confirmatory",2026-06-22
897kAvN6UaXxx7rEdca6LaeBXDJDzXnBUtF62PfB8nnK,KEEP,+$1.28M,-$564.64K,10d,99.94%,"30 (>500%), 53 (>100%)",Banked +$1.28M realized exceeds -$565K unrealized (net +$722K); 10d holds; 83 multi-x wins; high rug% confirmatory; fast-exit sniper,2026-06-22
7iVCXQn4u6tiTEfNVqbWSEsRdEi69E9oYsSMiepuECwi,REJECT,-$4.59M,-$61.86M,2mo,76.39%,"151 (>500%), 660 (>100%)",Negative realized -$4.59M + catastrophic bag -$61.86M (net -$66.45M); 2mo holds; bot-scale 1.57M txns,2026-06-22
7JCe3GHwkEr3feHgtLXnmuJ1yB3A7coSeyynxTBgdG8k,REJECT,-$3.75M,-$49.2M,1mo,76.21%,"152 (>500%), 644 (>100%)",Negative realized -$3.75M + catastrophic bag -$49.2M (net -$52.95M); 1mo holds; bot-scale 1.42M txns,2026-06-22
4mvhY1P3DszLsnbPaumA12XqiC5tVuYeUzYeRTarBv2H,REJECT,$0,$0,0,94.74%,0,"Distribution/receiver wallet: 0/46.25K txns (100% didnt buy, all sells); $0 realized; not a trader",2026-06-22
Em8J3gBWapfVBGVhVipwQnLrqCvnWBnLajw6XFsFECPF,REJECT,-$4.68M,-$50.35M,1mo,75.88%,"137 (>500%), 615 (>100%)",Negative realized -$4.68M + catastrophic bag -$50.35M (net -$55.03M); 1mo holds; bot-scale 1.45M txns,2026-06-22
GyyCEF3ffyZZcE7f2pBMSBhYu8Cj8nUDie5AKeEKWVuW,REJECT,+$1.62M,-$2.56M,20d,99.95%,"167 (>500%), 10 (>100%)",Bag-holder: unrealized -$2.56M exceeds realized +$1.62M (net -$933K); 20d holds exceed swing threshold,2026-06-22
UUAhspPgUdGuXUnokmxERH1VvNGNh1ouN3mfcbfV8yd,REJECT,+$2.54M,+$24.14,6h,54.9%,"219 (>500%), 722 (>100%)","MM/HFT bot: 4.43M/4.42M perfectly symmetric txns, $1.54B vol; two-sided automated market-making despite strong realized",2026-06-22
2sLPsUUGQ8HKddr3fYg9nLrqKZT2ddHLh8M1P4n5C4dM,REJECT,-$831.66,-$4.81K,22h,0%,0,"Negative realized -$832; symmetric 8.05K/8.19K txns (MM-like), 0% rug, 0 multi-x wins",2026-06-22
62SgvdqJBEamFJm9dxY1VKhpmQbJrwsNTX1aShV72JCT,REJECT,+$12.01K,-$2.19M,15d,100%,"16 (>500%), 1 (>100%)",Deep bag-holder: tiny realized +$12K vs -$2.19M unrealized (net -$2.18M); 4.84K buys/24 sells accumulator; 15d holds,2026-06-22
35dszeQQQzkMvjcmyrPWPnN5ZyK9ZjYkNp9kKXZWMvji,REJECT,-$3.02M,-$11.18M,2mo,82.61%,"421 (>500%), 1.37K (>100%)",Negative realized -$3.02M + catastrophic bag -$11.18M (net -$14.21M); 2mo holds; bot-scale 837K txns,2026-06-22
BwSp7NBw7h1i51CeZcc1qPf5nK3QDzKwWJoud1uDeTKL,REJECT,+$10.64K,-$1.79M,6d,100%,28 (>500%),Deep bag-holder: tiny realized +$11K vs -$1.79M unrealized (net -$1.78M); 3.03K buys/67 sells accumulator,2026-06-22
F5uUivbp7xoujvTDqSHWKZQSU61xvrVo4nVgDA5YAEuf,REJECT,$0,-$211.62,2mo,99.98%,0,"Never-sell dust accumulator: 11.18K buys/0 sells, $0 realized, 6.75K tokens all at loss; not a profitable trader",2026-06-22
EETVz5g6qw1Ax7gr5nx79uc5YDf7umKKvhoyQu9BJxUp,REJECT,$0,-$231.61,2mo,99.97%,0,"Never-sell dust accumulator: 11.96K buys/0 sells, $0 realized, 7.01K tokens all at loss; not a profitable trader",2026-06-22
9921NY2nYubEhvmoeBtbJbXzZV284HnNXgwYYR6kiU8D,REJECT,$0,-$212.93,2mo,99.97%,0,"Never-sell dust accumulator: 11.27K buys/0 sells, $0 realized, 6.8K tokens all at loss; not a profitable trader",2026-06-22
2JiBU4DAbnTuYj5UTh2NTUBHAypLnzV8Zrj4rfURj7XV,REJECT,$0,-$163.29,2mo,100%,0,"Never-sell dust accumulator: 9.04K buys/0 sells, $0 realized, 5.27K tokens all at loss; not a profitable trader",2026-06-22
GvV2DHCYtzyVKCP5C3qJsVnd2TqUSADM1Wx7wrMnZfzr,REJECT,$0,-$219.72,2mo,99.98%,0,"Never-sell dust accumulator: 11.43K buys/0 sells, $0 realized, 6.83K tokens all at loss; not a profitable trader",2026-06-22
2smYjcz67yRGiFZdWv878PC3aNPqxi3ziMsESjsWYXFV,REJECT,$0,-$174.07,2mo,100%,0,"Never-sell dust accumulator: 9.08K buys/0 sells, $0 realized, 5.24K tokens all at loss; not a profitable trader",2026-06-22
2QnKewzxyqXKrUYkEKHLoqTnZW5xJ81dQoHiir23QLsc,REJECT,$0,-$163.65,2mo,100%,0,"Never-sell dust accumulator: 8.8K buys/0 sells, $0 realized, 5.15K tokens all at loss; not a profitable trader",2026-06-22
7ebCZ3KJqJKvUfAz3PSn5xkcJ4bSnLuEJgkSHuAYd32F,REJECT,-$4.75M,-$1.1M,1mo,2.17%,4 (>100%),Negative realized -$4.75M (net -$5.85M); 1mo holds; bot-scale 69K/74K txns; 0 >500% wins,2026-06-22
7dGrdJRYtsNR8UYxZ3TnifXGjGc9eRYLq9sELwYpuuUu,KEEP,+$29.58M,-$9.24M,6d,83.56%,"5.55K (>500%), 5.9K (>100%)",Banked +$29.58M realized far exceeds -$9.24M unrealized (net +$20.33M); 6d holds; 11K+ multi-x wins; 94% win rate; large-scale fast-exit sniper (75% instant-sell); high rug% confirmatory,2026-06-22
2QfBNK2WDwSLoUQRb1zAnp3KM12N9hQ8q6ApwUMnWW2T,KEEP,+$8.2M,-$949.83K,1d,80.43%,"2.75K (>500%), 3.17K (>100%)",Banked +$8.2M realized far exceeds -$950K unrealized (net +$7.25M); 1d holds; ~6K multi-x wins; 96% win rate; large-scale fast-exit sniper (85% instant-sell); high rug% confirmatory,2026-06-22
CVJvAMSMpu1CfumAZz8cnrziytwvKzZhYMWxgnsQ2dZf,REJECT,$0,-$182.38,2mo,99.98%,0,"Never-sell dust accumulator: 9.55K buys/0 sells, $0 realized, 6.42K tokens all at loss; not a profitable trader",2026-06-22
F7p3dFrjRTbtRp8FRF6qHLomXbKRBzpvBLjtQcfcgmNe,REJECT,-$35.25K,-$32.26M,5mo,67.86%,"40 (>500%), 78 (>100%)",Negative realized -$35K + catastrophic bag -$32.26M (net -$32.3M); 5mo holds; 482K buys/52K sells accumulator,2026-06-22
MRiYA4oN3158fCV8evhuCofrDzbHyYvYnGZUDJvoCsa,KEEP,+$1.33M,-$1K,6d,55.65%,"1.77K (>500%), 1.47K (>100%)","Banked +$1.33M realized; ~flat unrealized (-$1K, fully banked); 6d holds; ~3.2K multi-x wins; 96% win rate; fast-exit sniper (91% instant-sell)",2026-06-22
bwamJzztZsepfkteWRChggmXuiiCQvpLqPietdNfSXa,KEEP,+$10.17M,-$3.4K,37m,99.8%,"159 (>500%), 2.59K (>100%)","Textbook sniper: banked +$10.17M realized, ~flat unrealized; 37min holds (ideal for 15-min cluster); ~2.75K multi-x wins; 98% instant-sell; high rug% confirmatory",2026-06-22
2bhkQ6uVn32ddiG4Fe3DVbLsrExdb3ubaY6i1G4szEmq,REJECT,-$27.81M,-$76.2M,20d,33.66%,9 (>100%),Negative realized -$27.81M + catastrophic bag -$76.2M (net -$104M); 20d holds; bot-scale 2.11M txns,2026-06-22
6LSw2UF2BA2Jckdv6LRoHh9frFLJpoiZW2dwTTgRjNwb,REJECT,+$6.8K,-$6.12M,24d,99.91%,1 (>100%),Deep bag-holder: tiny realized +$7K vs -$6.12M unrealized (net -$6.11M); 4.09K buys/38 sells accumulator; 24d holds,2026-06-22
6NibRvDJXSU7hesUC5eHhDgAHywMXLJC34mhGWogNabe,REJECT,-$1.05K,-$623.09K,8d,96.87%,0,Negative realized -$1.05K + bag -$623K (net -$624K); 1.94K buys/36 sells accumulator; 6% win rate,2026-06-22
AU6HBpPRnX3JBzdmQFnmn9redhiejF5HS6MoWuycMBQM,REJECT,$0,-$9.64M,13d,100%,0,"Never-sell accumulator: 1.83K buys/0 sells, $0 realized, -$9.64M unrealized; not banking profits",2026-06-22
D4KULoD4xxHJaea3yrx2mf5avkSEJVm25KqFW3XUpUkW,REJECT,+$1.72M,-$26.89M,2mo,1.59%,1 (>100%),Deep bag-holder: realized +$1.72M vs -$26.89M unrealized (net -$25.17M); 2mo holds; only 1 multi-x,2026-06-22
7Frq1DiCU7ypzPEGnZLgB8M2G9er7k5wDZnf8VUohBd1,KEEP,+$1.61M,-$945.32K,9d,99.73%,"82 (>500%), 124 (>100%)",Banked +$1.61M realized exceeds -$945K unrealized (net +$670K); 9d holds; 206 multi-x wins; high rug% confirmatory; fast-exit sniper,2026-06-22
Hkm9m53BVZsV3SRf23zzq6BVEpcsfz2M6Ucsa837Nzk7,REJECT,+$1.26M,-$20.82M,1mo,99.88%,"148 (>500%), 9 (>100%)",Deep bag-holder: realized +$1.26M vs -$20.82M unrealized (net -$19.56M); 1mo holds; 3.57K buys/847 sells accumulator,2026-06-22
2U8Y2pj1R6NLU97TJnuHfBFNqDWTBo3eNa4zy5oDjMME,KEEP,+$2.71M,-$2.07M,16d,99.83%,"143 (>500%), 214 (>100%)","Banked +$2.71M realized exceeds -$2.07M unrealized (net +$632K); 16d holds (borderline, near 14d); 357 multi-x wins; 100% win rate; high rug% confirmatory",2026-06-22
EhnnBjdEWaK3jo1JKNNY8kGtEPutiUXKTHc8c8a4yR2J,REJECT,+$48.41K,-$4.57M,3mo,99.96%,"1 (>500%), 17 (>100%)",Deep bag-holder: tiny realized +$48K vs -$4.57M unrealized (net -$4.52M); 3mo holds; 5.7K buys/966 sells accumulator,2026-06-22
A5ptjqiLeV2jTYoSk7W6owY3tjSt7z78ZvbP5Ldd4hkp,KEEP,+$1.16M,-$428.32K,6d,99.61%,"62 (>500%), 100 (>100%)",Banked +$1.16M realized exceeds -$428K unrealized (net +$732K); 6d holds (ideal); 162 multi-x wins; high rug% confirmatory; fast-exit sniper,2026-06-22
Hk3YBp51HV2x4NUAokF7voNPxnjDgUvPEa4HfEPj2uDY,KEEP,+$1.01M,-$518.51K,7d,99.62%,"45 (>500%), 106 (>100%)",Banked +$1.01M realized exceeds -$519K unrealized (net +$501K); 7d holds (ideal); 151 multi-x wins; high rug% confirmatory; fast-exit sniper,2026-06-22
qAkJ2SuveYDsN2ZaEPU5gWhF8gWZvsA2Pfizn3B9ZQ5,KEEP,+$1.12M,+$1.52M,10d,99.67%,"75 (>500%), 81 (>100%)",Banked +$1.12M realized; positive +$1.52M unrealized (net +$2.65M); 10d holds; 156 multi-x wins; high rug% confirmatory; fast-exit sniper,2026-06-22
29hDcch4iGEAwjCUvR9ik9TA22xUW54aHUbggGfgDeCC,REJECT,+$63.17K,-$10.26M,14d,100%,"35 (>500%), 2 (>100%)",Deep bag-holder: tiny realized +$63K vs -$10.26M unrealized (net -$10.2M); 2.02K buys/542 sells accumulator,2026-06-22
FyfL8UEhgSpPndM283xfkRrvnpQpEGtRNzjQbrnV3bxi,REJECT,+$320.84K,-$5.97M,3mo,99.98%,"8 (>500%), 83 (>100%)",Deep bag-holder: realized +$321K vs -$5.97M unrealized (net -$5.65M); 3mo holds; 9.57K buys/1.79K sells accumulator,2026-06-22
75qsE3p5y2BFSLnfS9MUMqSAwq6MW5FhTavrUPMTFkKz,REJECT,+$1.65M,-$4.91M,2mo,99.91%,"110 (>500%), 105 (>100%)",Bag-holder: unrealized -$4.91M exceeds realized +$1.65M (net -$3.25M); 2mo holds exceed swing threshold,2026-06-22
JD25qVdtd65FoiXNmR89JjmoJdYk9sjYQeSTZAALFiMy,REJECT,-$187.21M,-$620.09M,11mo,79%,"423 (>500%), 1.34K (>100%)","Negative realized -$187M + catastrophic bag (net -$807M); 11mo holds; exchange/CEX-scale 40M+ txns, $12.48B vol",2026-06-22
JD38n7ynKYcgPpF7k1BhXEeREu1KqptU93fVGy3S624k,REJECT,-$250.94M,-$671.66M,11mo,78.87%,"423 (>500%), 1.32K (>100%)","Negative realized -$251M + catastrophic bag (net -$923M); 11mo holds; exchange/CEX-scale 40M+ txns, $12.7B vol",2026-06-22
Fj7SLw2WT49PUJ6o5AGZmYhS8Ehtdap653v4ju9s9ckg,REJECT,+$270.76K,-$5.35M,2mo,99.91%,"8 (>500%), 45 (>100%)",Deep bag-holder: realized +$271K vs -$5.35M unrealized (net -$5.08M); 2mo holds; 6.49K buys/1.25K sells accumulator,2026-06-22
FMEjcPK7yCQccgFyoe555JB25h5MWcCkH1w8UfLULNXR,REJECT,+$399.23K,-$6.73M,2mo,99.92%,"4 (>500%), 61 (>100%)",Deep bag-holder: realized +$399K vs -$6.73M unrealized (net -$6.33M); 2mo holds; 9.6K buys/1.23K sells accumulator,2026-06-22
3kg2i1rybxAbnxuUnSVZn5o9d7wiRckLpcnTMCdjVBJk,REJECT,+$241.73K,-$4.08M,2mo,99.92%,"6 (>500%), 74 (>100%)",Deep bag-holder: realized +$242K vs -$4.08M unrealized (net -$3.83M); 2mo holds; 6.07K buys/1.49K sells accumulator,2026-06-22
JApBGtbBtsNosE1Z5CiyUkTMhAxATqH1NAuJJenHUceR,KEEP,+$482.27K,-$212.53,11h,15.01%,"22 (>500%), 66 (>100%)",Banked +$482K realized; ~flat unrealized (fully banked); 11h holds; 88 multi-x wins; 96% win rate; fast-exit sniper (91% instant-sell),2026-06-22
4PaPYsHHhaiahVWTFRbD8BRFxUugXhdwjdp4TPkFR5r1,KEEP,+$2.23M,-$1.3M,13d,99.76%,"81 (>500%), 121 (>100%)",Banked +$2.23M realized exceeds -$1.3M unrealized (net +$930K); 13d holds (under swing threshold); 202 multi-x wins; high rug% confirmatory,2026-06-22
BHD5YKNkbo3YWzfYTWxMSTERuSR2YPVG9VTin7oSksbB,REJECT,+$1.84M,-$3.98M,2mo,99.89%,"106 (>500%), 90 (>100%)",Bag-holder: unrealized -$3.98M exceeds realized +$1.84M (net -$2.13M); 2mo holds exceed swing threshold,2026-06-22
HEW6rzSBb3CgWhqkeFvdpCY6FQXwns54nQLhSiTVEnJp,REJECT,+$50.61K,-$3.52M,10d,99.86%,"7 (>500%), 8 (>100%)",Deep bag-holder: tiny realized +$51K vs -$3.52M unrealized (net -$3.47M); $3.56M bought/$76K sold accumulator,2026-06-22
2u2tU5RgCBdphiRFpMWYtYBtnmvz2aG7QJ93U4C8NfdD,REJECT,+$1.31K,-$2.15M,4d,99.55%,3 (>100%),Near-zero realized +$1.3K + deep bag -$2.15M; $2.18M bought/$18K sold accumulator; not banking profits,2026-06-22
Bq7quPVpZfBjNreKfUrML4iFBbsLqWjoC8L4xR1q9reY,REJECT,+$6.06K,-$1.78M,2d,99.71%,5 (>100%),Near-zero realized +$6K + deep bag -$1.78M; $1.82M bought/$47K sold accumulator; not banking profits,2026-06-22
AyuS2xSr1yoqPuZNbpre87YzVS7Cugs92pY31x1CpuQP,REJECT,-$452.7K,-$25.78K,8d,100%,0,Negative realized -$452.7K (net -$478K); 8d holds; 0 multi-x wins; all 18 tokens at loss,2026-06-22
EyS1BmPAgyXiQs5VpCuLr2KUAEkWVY6biWaYVska9NMX,REJECT,-$36.93,-$386.3K,9d,94.48%,0,Negative realized -$37 + bag -$386K; 1.18K buys/40 sells accumulator; 5.5% win rate; 0 multi-x,2026-06-22
EGekTcpFcr5CDrp6t5j8vRsK7XGeDYoLHANbLjWMembK,REJECT,-$2.38,-$547.06K,16d,98.16%,0,Near-zero/negative realized + bag -$547K; 1.62K buys/17 sells pure accumulator; 0 multi-x; all tokens at loss,2026-06-22
8HS71C4LnwXxip3fSds26uZnzeQywUWpAiKH13Ky2Xn3,KEEP,+$1.28M,-$928.92K,10d,99.6%,"83 (>500%), 58 (>100%)",Banked +$1.28M realized exceeds -$929K unrealized (net +$354K); 10d holds; 141 multi-x wins; net seller; high rug% confirmatory; fast-exit sniper,2026-06-22
FP1t5jx9Q53WhAAc8s6HAgebRnPGjNWX52Sa5XoLYhc5,REJECT,-$117.98K,-$9.32K,7d,100%,0,Negative realized -$118K (net -$127K); 0 multi-x wins; 123/124 tokens at loss,2026-06-22
6VXhgjzjwkijkPfq7gTrFrwbgZ3BTMw7ytay4nw4k1jK,REJECT,+$1.35M,-$7.78M,1mo,99.95%,"123 (>500%), 324 (>100%)",Bag-holder: unrealized -$7.78M exceeds realized +$1.35M (net -$6.42M); 1mo holds exceed swing threshold,2026-06-22
GwfemYaZi8HckHKBsS7ivrz44TneVAydLtb9d6rJyJMj,REJECT,$0,-$4.2M,5d,100%,0,"Never-sell accumulator: 836 buys/0 sells, $0 realized, -$4.2M unrealized; not banking profits",2026-06-22
4M8gXniKmf79RVni6vB7d4SCa1JFxHcgZb8me2wT5tx8,REJECT,+$1.09K,-$1.99K,10d,97.61%,"3 (>500%), 117 (>100%)","Near-zero realized +$1K (net -$899); dust/micro wallet ($11K volume, $1.66 avg cost); not meaningful banked profit",2026-06-22
2jvnxMv4cnnysFTg2GGcLdpS4xcfKDQgFAvKMYVKJufm,KEEP,+$1.96M,-$1.59M,16d,99.74%,"85 (>500%), 127 (>100%)",Banked +$1.96M realized exceeds -$1.59M unrealized (net +$364K); 16d holds (borderline near 14d); 212 multi-x wins; high rug% confirmatory,2026-06-22
6AGp6zbGNuyZpmzeswv9KCNU15Rf37UQDqDqFAeHmS8d,KEEP,+$296K,-$84.63,7d,47.05%,"894 (>500%), 379 (>100%)",Banked +$296K realized; ~flat unrealized (fully banked); 7d holds (ideal); ~1.27K multi-x wins; 98% win rate; fast-exit sniper (94% instant-sell),2026-06-22
8cxba3FWd27P1fezJAujggnUd9rGc8hFXSR9EJK2WfeA,REJECT,+$1.24K,-$1.18M,4d,99.66%,0,Near-zero realized +$1K + deep bag -$1.18M; $1.21M bought/$22K sold accumulator; 0 multi-x; not banking profits,2026-06-22
HbesDLfmi38W8nrpbCCi1aaKYhweVQjc2UX4swK6AoRK,KEEP,+$1.46M,-$1.13M,13d,99.76%,"81 (>500%), 70 (>100%)",Banked +$1.46M realized exceeds -$1.13M unrealized (net +$335K); 13d holds (under swing threshold); 151 multi-x wins; high rug% confirmatory,2026-06-22
B7bqAu2qhF8Cs5bzZtgu4RkCcErrGZp3Jj2gqcU9nfrr,REJECT,+$387.48,-$1.21K,7d,99.86%,2 (>100%),Near-zero realized +$387 (net -$830); dust/micro wallet ($13K volume); 0.47% win rate; not meaningful,2026-06-22
CZj6b52kptmJfK4sfDydBCW9FTPNd977X6FeY4qGW4e7,REJECT,$0,-$4.17M,5d,100%,0,"Never-sell accumulator: 833 buys/0 sells, $0 realized, -$4.17M unrealized; not banking profits",2026-06-22
F9vmGpRrhEpENTUSmoEtneGTCsNMpM2mbHtxF8WM9DPW,REJECT,+$4.63K,-$1.13M,3d,99.6%,6 (>100%),Near-zero realized +$5K + deep bag -$1.13M; $1.16M bought/$32K sold accumulator; not banking profits,2026-06-22
6aGUuKV9jKosUgnRDCstPPr9XVeL9A34KvNAqQs9ZeTV,REJECT,+$1.05K,-$1.1M,3d,98.93%,1 (>100%),Near-zero realized +$1K + deep bag -$1.1M; $1.12M bought/$18K sold accumulator; not banking profits,2026-06-22
4CpaRs8StpbNzqg7wvStEoLRzF16HnD6MAyBAt6XKsCG,REJECT,+$4.06K,-$1.14M,3d,99.58%,10 (>100%),Near-zero realized +$4K + deep bag -$1.14M; $1.17M bought/$41K sold accumulator; not banking profits,2026-06-22
89CcrLGdhdTvV6GTA6fVmDp84F8yrT8uUDAMokb4xioT,REJECT,+$11.07K,-$1.37M,2d,99.74%,"1 (>500%), 20 (>100%)",Near-zero realized +$11K + deep bag -$1.37M; $1.43M bought/$69K sold accumulator; not banking profits,2026-06-22
5qdmXFTTrkqUQV89quWH2cfTSf6M3JKXkjBvFrfWzKA,REJECT,+$30.37K,-$45.84K,3d,93.18%,4 (>100%),Bag-holder: unrealized -$45.84K exceeds realized +$30.37K (net -$15.47K); only 4 multi-x wins,2026-06-22
33PGGUsThWbcjxUYbP4mZynSwNy7zXqJsw5xmpHdnz1G,REJECT,+$341.85,-$3.2K,12d,95.14%,0,Near-zero realized +$342 (net -$2.86K); dust/micro wallet ($177K volume); 0 multi-x; 13% win rate,2026-06-22
Fxp84nGVFFFnyqPVLo5qpes4Qg6hWAssufMBWcgrTDxz,REJECT,-$0.90,-$286.59K,9d,97.2%,0,Near-zero/negative realized + bag -$287K; 587 buys/9 sells accumulator; 0 multi-x; 20% win rate,2026-06-22
3pFYGSypzNZWWkVeaccihJpE8A165eTiSCbM4n2zyRxi,REJECT,-$2.7M,-$823.99K,8d,99.91%,"29 (>500%), 17 (>100%)",Negative realized -$2.7M (net -$3.53M); 1% win rate; net loser despite some multi-x,2026-06-22
7qkHNctGRYg474mrPX1gFY1xPgvjRquRJZ5xSKr8sKfe,REJECT,+$703.36,+$545.95K,18d,3.57%,1 (>500%),Near-zero realized +$703 (all $546K is unbanked paper); 18d holds; barely sells (54 buys/12 sells); not banking profits,2026-06-22
Hr279dFU4DhQzJ6s8T19WupkcqZmDeeRZedj2qUBCYTP,KEEP,+$58.09K,-$36.86K,3d,90%,12 (>100%),Banked +$58K realized exceeds -$37K unrealized (net +$21K); 3d holds (ideal); 12 multi-x wins; net seller; high rug% confirmatory; fast-exit profile,2026-06-22
9Wkv6tNfxu88PQZJpJ784V7w4EJrpxnqDV9jeUshYYmx,REJECT,+$203.4K,-$1.41M,1mo,100%,"4 (>500%), 36 (>100%)",Deep bag-holder: realized +$203K vs -$1.41M unrealized (net -$1.21M); 1mo holds; 889 buys/147 sells accumulator,2026-06-22
7fU4qK2Y5SSAfs1wsgmkyBFbGNSJQGmf779z5J1CTR1p,REJECT,+$457.42K,-$1.2M,20d,99.79%,"22 (>500%), 37 (>100%)",Bag-holder: unrealized -$1.2M exceeds realized +$457K (net -$750K); 20d holds exceed swing threshold,2026-06-22
3XmgTpc3bndpMdksjoN7jtd6nWsCvm6gSoJvTcySxCEP,REJECT,+$1.5M,+$20.7M,7mo,12.5%,"1 (>500%), 1 (>100%)","Long-hold whale: 7mo avg hold, only 40 tokens, 2 multi-x wins; wrong style for fast-exit bot despite positive PnL",2026-06-22
