"Wallet Address (FULL)","Lifetime Total PnL","Wallet Age","# Multi-x Wins","Smart Money?","Sniper?","Builder?","Source Token(s)","Cluster","Notes"
"ETCLCgng8vUeBqudNvmDeGoBjqRriLLq4FoReSH1hQRU","+$15.38K","1mo","0","Yes","No","No","Kiyomasa","","BORDERLINE (0 multi-x wins)"
"2q3ABvRCf1772VnxW4Nauc4DGfJSANpLhBxBYajkLpC6","+$7.6K","3y","some","Yes","No","No","Kiyomasa","","Small but qualifies (old wallet)"
"HnUsi9LQWzfLvZbdew78DwYw7PU6ZcpzCfAEKJMPtJRT","-$4.92K","-","-","Yes","No","No","HAPPY","","EXCLUDED - negative lifetime PnL"
"34JiFUR96ULnvtp5h5gWgk6JrSvYFFB5LTnLWvPG4bTR","-$33.84K","-","-","Yes","No","No","(prior)","","EXCLUDED - negative lifetime PnL"
"CBh8LW3KHmb4F59JM7wmpnWUPKoY8E6BJWXLYBGMAHjd","+$10.99K*","10mo","-","Yes","No","No","HUNTER","HUNTER-cluster-A","Co-buyer (+2,897% on HUNTER). *per-token PnL; lifetime TBV"
"4Wd3CAHmo54BVa9eZwbCm2ViCykD2fpzXKmH1GwsMCZM","+$10.55K*","2y","-","Yes","No","No","HUNTER","HUNTER-cluster-A","Co-buyer (+1,442% on HUNTER). *per-token PnL; lifetime TBV"
"4jSmEmBkuBi1JxZHM1khkf57xPR2oW1EnkRxqehq1cSK","+$3.86K*","2y","-","Yes","No","No","HUNTER","HUNTER-cluster-A","Co-buyer (+619% on HUNTER). *per-token PnL; lifetime TBV"
"FbiBbTBP2Vs7b3j74eBsAYFpxWms11m23DeGmYcc8Yoo","+$3.54K*","5mo","-","Yes","No","No","HUNTER","HUNTER-cluster-A","Co-buyer (+490% on HUNTER). *per-token PnL; lifetime TBV"
"FSHXkmt8TPdwE3Qe9xxpX7QFVfJC4YfdDsCzZmM2G2Wi","+$2.78K*","10mo","-","Yes","No","No","HUNTER","HUNTER-cluster-A","Co-buyer (+41% on HUNTER). *per-token PnL; lifetime TBV"
"7oj2bE8c4GWGpk8aFh2gYVSsWMgfiZKqHzaA1BZGiG9m","+$2.31K*","2y","-","Yes","No","No","HUNTER","HUNTER-cluster-A","Co-buyer (+118% on HUNTER). *per-token PnL; lifetime TBV"
"4sSUcpxq4HqesVUpy16YmVLouQATGEw23TrNrF6GkaBt","+$792.97*","5mo","-","Yes","No","No","HUNTER","HUNTER-cluster-A","Co-buyer (+117% on HUNTER). *per-token PnL; lifetime TBV"
"DqBs49SUGdfhqSgDunQ8Q6erCWwdmXvWVwXcgNspQGZZ","+$4.69K*","3mo","+2,535% on HAPPY*","Yes","No","No","HAPPY","HAPPY-cluster-B","co-buyer; *per-token PnL"
"A7oip5NAmV6UxwmDrBbxqKcue1JKKBrcg8dF3Vd5uinS","+$2.09K*","3mo","+1,680% on HAPPY*","Yes","No","No","HAPPY","HAPPY-cluster-B","co-buyer; *per-token PnL"
"AUnqGTUdTLrys4qdNq3uEXgxDzXGTHCqVMrFnrhUH1ZB","+$1.18K*","3mo","+1,188% on HAPPY*","Yes","No","No","HAPPY","HAPPY-cluster-B","co-buyer; *per-token PnL"
"DZQeAJWZPzFntLUmZbaX1xr1j56aw1x2y79doEKEYpM4","+$814.33*","3mo","+170% on HAPPY*","Yes","No","No","HAPPY","HAPPY-cluster-B","co-buyer; *per-token PnL"
"2EwLgFLzArQJa6dkAj4EsRQMBHtS5b2TPDKc5UrXf9j7","+$775.57*","3mo","+130% on HAPPY*","Yes","No","No","HAPPY","HAPPY-cluster-B","co-buyer; *per-token PnL"
"GvbttFjLD6yprE6n94PnKWycg2mGvkoQybvhsAu7Gm6B","+$718.59*","3mo","+53.83% on HAPPY*","Yes","No","No","HAPPY","HAPPY-cluster-B","co-buyer; *per-token PnL"
"EMWVo6UmQUQxBox3CRrFQANos25TgnNi7ZWmRfGj3QbR","+$666.06*","3mo","+28.34% on HAPPY*","Yes","No","No","HAPPY","HAPPY-cluster-B","co-buyer; *per-token PnL"
